age;sex;sex_orient;educ;town;marital;sex_experience;children;diner;pos_aff;neg_aff;gender_st_plus;gender_st_minus;norms_male;avoiding_femin;dislike_lgbt;self_esteem_tech;firmness;dom_males;need_sex;limit_emotion;sexism_minus;sexism_plus;polit_orientation;feminism;fairness_system;loyality_system;ideal_system;anti_egal;dom;subm;conven;hard_purpose;codes_purpose;hard_accident;codes_accident;cope_confr_acc;cope_dist_acc;cope_control_acc;cope_support_acc;cope_respon_acc;cope_run_acc;cope_plan_acc;cope_value_acc;cope_confr_purp;cope_dist_purp;cope_control_purp;cope_support_purp;cope_respon_purp;cope_run_purp;cope_plan_purp;cope_value_purp
18;М;Гетеросексуал;Неоконченное высшее;Москва или Санкт-Петербург;Не женаты/не замужем;Нет;нет;17;24;27;5;0;75;15;15;13;12;9;6;5;16;15;5;3;6;6;7;25;15;23;17;0;work;0;formal;11;10;15;12;9;16;11;13;10;8;10;10;4;11;9;8
18;М;Гетеросексуал;Неоконченное высшее;Москва или Санкт-Петербург;Не женаты/не замужем;Да;нет;18;28;27;3;4;58;3;8;12;14;6;3;12;7;14;4;2;4;5;6;25;13;17;10;0;betrayal;0;work;6;11;11;13;0;3;10;11;7;8;9;10;0;2;4;7
18;Ж;Гетеросексуал;Неоконченное высшее;Город с населением от 500 тысяч до 1 млн человек;Не женаты/не замужем;Нет;нет;20;27;21;0;2;76;14;7;14;12;13;6;10;16;28;4;7;2;4;2;14;11;18;16;0;education;0;.000;10;3;11;11;5;10;9;7;11;10;17;9;12;10;14;12
18;М;Гетеросексуал;Среднее полное;Москва или Санкт-Петербург;Не женаты/не замужем;Да;нет;29;27;11;6;0;103;19;15;3;20;20;6;20;15;5;1;1;7;7;7;35;35;33;30;0;.000;0;.000;9;12;20;9;11;20;18;17;13;16;14;13;9;18;14;15
18;Ж;Гетеросексуал;Неоконченное высшее;Москва или Санкт-Петербург;Не женаты/не замужем;Да;нет;28;42;22;3;1;48;6;3;15;9;6;4;5;6;18;4;6;4;5;5;19;16;23;17;1;stereotype;0;sport;9;13;15;14;7;6;14;13;9;12;11;11;5;9;11;8
30;Ж;Гетеросексуал;Высшее;Город с населением менее 100 тысяч человек;Женаты/замужем;Да;1 ребенок;25;37;15;9;0;90;7;16;8;17;17;13;12;20;25;2;5;2;2;2;12;19;25;22;1;work;0;work;6;15;13;5;4;12;12;9;8;11;17;6;6;15;13;7
39;Ж;Гетеросексуал;Высшее;Город-миллионник;Не женаты/не замужем;Да;нет;19;38;25;4;1;91;15;13;17;15;15;7;9;19;25;2;5;5;2;5;26;16;16;22;1;harass;0;.000;11;3;13;16;5;10;15;15;7;6;16;16;8;14;13;18
32;Ж;Бисексуал;Высшее;Москва или Санкт-Петербург;Не женаты/не замужем;Да;нет;17;34;20;3;2;41;4;5;10;8;4;4;6;11;9;4;6;1;1;1;14;13;8;14;0;stereotype;1;.000;0;10;10;2;2;15;5;7;6;7;4;13;0;7;5;1
32;М;Гетеросексуал;Высшее;Москва или Санкт-Петербург;Женаты/замужем;Да;1 ребенок;28;43;13;2;4;36;3;3;6;12;3;5;4;2;5;2;7;1;1;1;35;5;7;8;0;betrayal;0;family;11;6;9;7;0;0;11;4;9;0;14;14;0;7;12;7
30;М;Гетеросексуал;Высшее;Город с населением от 500 тысяч до 1 млн человек;Не женаты/не замужем;Да;нет;21;42;18;4;2;132;19;19;18;18;18;21;19;13;22;5;2;5;5;6;26;8;26;26;1;betrayal;1;trait;8;3;12;6;1;3;10;11;7;3;14;6;4;4;12;13
42;Ж;Гетеросексуал;Высшее;Город-миллионник;Женаты/замужем;Да;нет;20;32;14;3;4;70;14;10;13;12;7;6;8;16;14;4;2;5;5;5;14;10;21;23;1;work;1;work;9;11;12;11;7;11;13;18;11;10;15;9;5;9;14;16
34;Ж;Гетеросексуал;Высшее;Город с населением от 500 тысяч до 1 млн человек;Женаты/замужем;Да;3 ребенка;30;32;15;2;6;73;9;9;15;11;8;15;6;10;10;5;3;6;6;5;20;6;18;20;0;betrayal;0;sport;5;7;7;15;4;6;9;14;7;8;12;16;4;9;11;14
52;Ж;Гетеросексуал;Высшее;Город-миллионник;Женаты/замужем;Да;нет;20;35;13;1;0;74;10;14;13;19;6;6;6;12;11;5;4;4;4;4;14;12;19;22;1;.000;1;harass;12;11;17;7;6;8;17;19;8;8;18;6;7;12;18;16
47;Ж;Гетеросексуал;Высшее;Город с населением от 500 тысяч до 1 млн человек;Разведены;Да;1 ребенок;19;30;13;8;0;81;20;13;15;8;11;9;5;22;15;6;2;4;3;4;17;24;12;23;0;betrayal;1;work;12;8;17;17;5;10;12;17;12;9;16;16;8;10;13;12
34;Ж;Гетеросексуал;Высшее;Москва или Санкт-Петербург;Не женаты/не замужем;Да;нет;21;30;31;3;2;52;9;8;9;8;6;6;6;6;7;4;4;2;2;3;16;7;14;14;1;betrayal;1;danger;15;14;16;15;9;24;16;18;14;12;17;15;6;20;16;12
